№;Дата и время;Секунда;Микросекунда
1;2023-05-12 21:04:10.414414;10;414414
2;2023-05-12 21:04:10.430065;10;430065
3;2023-05-12 21:04:10.445696;10;445696
4;2023-05-12 21:04:10.461316;10;461316
5;2023-05-12 21:04:10.477021;10;477021
6;2023-05-12 21:04:10.492637;10;492637
7;2023-05-12 21:04:10.508193;10;508193
8;2023-05-12 21:04:10.524029;10;524029
9;2023-05-12 21:04:10.539753;10;539753
10;2023-05-12 21:04:10.555298;10;555298
11;2023-05-12 21:04:10.570958;10;570958
12;2023-05-12 21:04:10.586998;10;586998
13;2023-05-12 21:04:10.602647;10;602647
14;2023-05-12 21:04:10.618284;10;618284
15;2023-05-12 21:04:10.633904;10;633904
16;2023-05-12 21:04:10.649528;10;649528
17;2023-05-12 21:04:10.665156;10;665156
18;2023-05-12 21:04:10.680852;10;680852
19;2023-05-12 21:04:10.696480;10;696480
20;2023-05-12 21:04:10.712039;10;712039
21;2023-05-12 21:04:10.727735;10;727735
22;2023-05-12 21:04:10.743351;10;743351
23;2023-05-12 21:04:10.758890;10;758890
24;2023-05-12 21:04:10.774540;10;774540
25;2023-05-12 21:04:10.790175;10;790175
26;2023-05-12 21:04:10.805799;10;805799
27;2023-05-12 21:04:10.821424;10;821424
28;2023-05-12 21:04:10.837053;10;837053
29;2023-05-12 21:04:10.852673;10;852673
30;2023-05-12 21:04:10.868287;10;868287
31;2023-05-12 21:04:10.883911;10;883911
32;2023-05-12 21:04:10.899534;10;899534
33;2023-05-12 21:04:10.915143;10;915143
34;2023-05-12 21:04:10.930795;10;930795
35;2023-05-12 21:04:10.946409;10;946409
36;2023-05-12 21:04:10.962045;10;962045
37;2023-05-12 21:04:10.977662;10;977662
38;2023-05-12 21:04:10.993293;10;993293
39;2023-05-12 21:04:11.008915;11;8915
40;2023-05-12 21:04:11.024517;11;24517
41;2023-05-12 21:04:11.040520;11;40520
42;2023-05-12 21:04:11.056260;11;56260
43;2023-05-12 21:04:11.071796;11;71796
44;2023-05-12 21:04:11.087523;11;87523
45;2023-05-12 21:04:11.103196;11;103196
46;2023-05-12 21:04:11.118814;11;118814
47;2023-05-12 21:04:11.134421;11;134421
48;2023-05-12 21:04:11.150066;11;150066
49;2023-05-12 21:04:11.165896;11;165896
50;2023-05-12 21:04:11.181642;11;181642
51;2023-05-12 21:04:11.197309;11;197309
52;2023-05-12 21:04:11.212923;11;212923
53;2023-05-12 21:04:11.228542;11;228542
54;2023-05-12 21:04:11.244167;11;244167
55;2023-05-12 21:04:11.259789;11;259789
56;2023-05-12 21:04:11.275423;11;275423
57;2023-05-12 21:04:11.291063;11;291063
58;2023-05-12 21:04:11.306684;11;306684
59;2023-05-12 21:04:11.322308;11;322308
60;2023-05-12 21:04:11.337936;11;337936
61;2023-05-12 21:04:11.353691;11;353691
62;2023-05-12 21:04:11.369166;11;369166
63;2023-05-12 21:04:11.384784;11;384784
64;2023-05-12 21:04:11.400409;11;400409
65;2023-05-12 21:04:11.416069;11;416069
66;2023-05-12 21:04:11.431684;11;431684
67;2023-05-12 21:04:11.447308;11;447308
68;2023-05-12 21:04:11.462936;11;462936
69;2023-05-12 21:04:11.478633;11;478633
70;2023-05-12 21:04:11.494309;11;494309
71;2023-05-12 21:04:11.509937;11;509937
72;2023-05-12 21:04:11.525554;11;525554
73;2023-05-12 21:04:11.541662;11;541662
74;2023-05-12 21:04:11.557468;11;557468
75;2023-05-12 21:04:11.573061;11;573061
76;2023-05-12 21:04:11.588719;11;588719
77;2023-05-12 21:04:11.604242;11;604242
78;2023-05-12 21:04:11.619808;11;619808
79;2023-05-12 21:04:11.635522;11;635522
80;2023-05-12 21:04:11.651078;11;651078
81;2023-05-12 21:04:11.666685;11;666685
82;2023-05-12 21:04:11.682441;11;682441
83;2023-05-12 21:04:11.698082;11;698082
84;2023-05-12 21:04:11.713701;11;713701
85;2023-05-12 21:04:11.729079;11;729079
86;2023-05-12 21:04:11.747183;11;747183
87;2023-05-12 21:04:11.760669;11;760669
88;2023-05-12 21:04:11.776634;11;776634
89;2023-05-12 21:04:11.792466;11;792466
90;2023-05-12 21:04:11.808520;11;808520
91;2023-05-12 21:04:11.824477;11;824477
92;2023-05-12 21:04:11.839786;11;839786
